REPORTID,MODULID,UNITID,ABSCHLUSS,STANDORT,STUDIENBEREICH,STUDIENGANG,STUDIENGANG_EN,STUDIENRICHTUNG,STUDIENRICHTUNG_EN,GESAMTCREDITS,SORTIERUNG,SORTIERUNG_DOKUMENT,MODULNUMMER,MODULBEZEICHNUNG,MODULBEZEICHNUNG_EN,MODULTYP,MODULBEREICH,WAHLBEREICH,SPRACHE,HAUPTVERANTWORTLICH,KONTAKT,ALLE_VERANTWORTLICHE,MODULDAUER,STUDIENJAHR,VERORTUNG,VERORTUNG_UNIT,UNITNUMMER,UNITBEZEICHNUNG,UNITBEZEICHNUNG_EN,LEHRFORM,LEHRMETHODE,PLEISTUNG_KNOTEN,PLEISTUNG,GEWICHTUNG,BENOTUNG,PRUEFUNGSUMFANG,ECTSCREDITS,PRAESENZ,SELBSTSTUDIUM,TRANSFER,PRUEFUNG,PRAESENZ_GESAMT,SELBSTSTUDIUM_GESAMT,TRANSFER_GESAMT,PRUEFUNG_GESAMT,OPTIONAL,WAHLMODULE,MODUL_VERSION,UNIT_VERSION,MAX_MODUL_VERSION,MAX_UNIT_VERSION
"186e62769ecroot","372703963523876","372704009341880","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,4,"SMGSA_01","SMGSA_01","Theorien Sozialer Arbeit, gesellschaftlicher Wandel Governance","Social Work Theories, Social Change, Governance","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Günter Rieger","rieger@dhbw-stuttgart.de","Prof. Dr. Günter Rieger",1,0,"-","0","SMGSA_01.1","Theorien Sozialer Arbeit, gesellschaftlicher Wandel Governance","Social Work Theories, Social Change, Governance","Vorlesung, Übung","Praxis","MODULE","Seminararbeit / Referat",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372704574463900","372704600379904","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,7,"SMGSA_04","SMGSA_04","Rechtliche Rahmenbedingungen sozial(wirtschaftlich)er Organisationen","Legal Framework of social(economic) Organisations","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. iur. Rainer Patjens","rainer.patjens@dhbw-stuttgart.de","Prof. Dr. iur. Rainer Patjens",1,0,"-","0","SMGSA_04.1","Rechtliche Rahmenbedingungen sozial(wirtschaftlich)er Organisationen","Legal Framework of social(economic) Organisations","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372723380386528","372723457321533","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,8,"SMGSA_05","SMGSA_05","Governance sozial(wirtschaftlich)er Organisationen","Governance of  social(economic) Organisations","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Klaus Grunwald","klaus.grunwald@dbhw-stuttgart.de","Prof. Dr. Klaus Grunwald",1,0,"-","0","SMGSA_05.3","Governance sozial(wirtschaftlich)er Organisationen","Governance of social(economic) Organisations","Vorlesung, Übung","Praxis","MODULE","Studienarbeit",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,3,1,3,1
"186e62769ecroot","372723492120535","372723522101539","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,9,"SMGSA_06","SMGSA_06","Organisationen gestalten, Personal führen","Personnel and Organisation","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Sabine Woydt","sabine.woydt@heilbronn.dhbw.de","Prof. Dr. Sabine Woydt",1,0,"-","0","SMGSA_06.1","Organisationen gestalten, Personal führen","Personnel and Organisation","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372723553122541","372723586019545","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,10,"SMGSA_07","SMGSA_07","Unternehmensführung sozial(wirtschaftlich)er Organisationen I","Business Management of social(economic) Organisations I","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Monika Sagmeister",(null),"Prof. Dr. Monika Sagmeister",1,0,"-","0","SMGSA_07.1","Unternehmensführung sozial(wirtschaftlich)er Organisationen I","Business Management of social(economic) Organisations I","Vorlesung, Übung","Praxis","MODULE","Mündliche Prüfung",100,"ja","30",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372723611046547","372723664135553","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,11,"SMGSA_08","SMGSA_08","Unternehmensführung sozial(wirtschaftlich)er Organisationen II","Business Management of social(economic) Organisations II","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Monika Sagmeister",(null),"Prof. Dr. Monika Sagmeister",1,0,"-","0","SMGSA_08.5","Unternehmensführung sozial(wirtschaftlich)er Organisationen II","Business Management of social(economic) Organisations II","Vorlesung, Übung","Praxis","MODULE","Mündliche Prüfung",100,"ja","30",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,3,1,3,1
"186e62769ecroot","372723718294556","372723767636561","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,12,"SMGSA_09","SMGSA_09","Unternehmensführung sozial(wirtschaftlich)er Organisationen III","Business Management of social(economic) Organisations III","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Monika Sagmeister",(null),"Prof. Dr. Monika Sagmeister",1,0,"-","0","SMGSA_09.4","Unternehmensführung sozial(wirtschaftlich)er Organisationen III","Business Management of social(economic) Organisations III","Vorlesung, Übung","Praxis","MODULE","Mündliche Prüfung",100,"ja","30",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,3,1,3,1
"186e62769ecroot","372723809307564","372723835863568","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,15,"SMGSA_10","SMGSA_10","Politik und Zivilgesellschaft","Politics and Civil Society","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Ursula Weber","ursula.weber@dhbw-stuttgart.de","Prof. Dr. Ursula Weber",1,0,"-","0","SMGSA_10.1","Politik und Zivilgesellschaft","Politics and Civil Society","Vorlesung, Übung","Praxis","MODULE","Seminararbeit / Referat",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372723864551570","372723910001574","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,16,"SMGSA_11","SMGSA_11","Innovative soziale Dienstleistungen","Innovative Social Services","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Michael Batz","batz@dhbw-heidenheim.de","Prof. Dr. Michael Batz",1,0,"-","0","SMGSA_11.1","Innovative soziale Dienstleistungen","Innovative Social Services","Vorlesung, Übung","Praxis","MODULE","Projekt- bzw. Forschungsskizze / Referat",100,"ja","Siehe Pruefungsordnung",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
"186e62769ecroot","372724078890583","372724101890587","Master","CAS","Studienbereich Sozialwesen","Governance Sozialer Arbeit","Governance of Social Work","","",90,18,"SMGSA_13.2","SMGSA_13.2","Vertiefung Betriebswirtschaft in sozial(wirtschaftlich)en Organisationen","Advanced Training in Business Administration","1|Generalistisches Modul","Festgelegter Modulbereich",(null),"Deutsch","Prof. Dr. Steffen Arnold","arnold@dhbw-vs.de","Prof. Dr. Steffen Arnold",1,0,"-","0","SMGSA_13.2","Vertiefung Betriebswirtschaft in sozial(wirtschaftlich)en Organisationen","Advanced Training in Business Administration","Vorlesung, Übung","Praxis","MODULE","Klausur",100,"ja","120",5.0,40.0,110.0,0.0,0.0,40.0,110.0,0.0,0.0,0,0,2,2,2,2
