REPORTID,ID,KATEGORIE,SORTIERUNG,TEXT
"186e62769ecroot","354045283729641","Lehrinhalte",17,"-"
"186e62769ecroot","354045283729641","Literatur",18,"-"
"186e62769ecroot","360656574338119","Lehrinhalte",17,"-"
"186e62769ecroot","360656574338119","Literatur",18,"-"
"186e62769ecroot","372703963523876","Methodenkompetenz",40,"• Das Gesellschafts- und Menschenbild der Studierenden ist vertieft und differenziert, ihre sozialarbeiterische Identität in der Zugehörigkeit zu Profession und Disziplin Sozialer Arbeit gefestigt."
"186e62769ecroot","372703963523876","Personale und Soziale Kompetenz",41,"• Die Studierenden erkennen den normativen Gehalt unterschiedlicher Theorieansätze und reflektieren eigene Einstellungen kritisch vor dem Hintergrund theoretischer Erkenntnisse sowie berufsethischer Grundsätze."
"186e62769ecroot","372703963523876","Sachkompetenz",5,"-"
"186e62769ecroot","372703963523876","Selbstkompetenz",8,"- Das Gesellschafts- und Menschenbild der Studierenden ist vertieft und differenziert, ihre sozialarbeiterische Identität in der Zugehörigkeit zu Profession und Disziplin Sozialer Arbeit gefestigt."
"186e62769ecroot","372703963523876","Sozial-ethische Kompetenz",7,"- Die Studierenden erkennen den normativen Gehalt unterschiedlicher Theorieansätze und reflektieren eigene Einstellungen kritisch vor dem Hintergrund theoretischer Erkenntnisse sowie berufsethischer Grundsätze."
"186e62769ecroot","372703963523876","Übergreifende Handlungskompetenz",9,"-"
"186e62769ecroot","372703963523876","Besonderheiten",14,"Das Modul ist nicht im Zertifikatsprogramm belegbar.

Prüfungsumfang: Seminararbeit (15 - 20 Seiten) / Referat (10 - 15 Minuten)"
"186e62769ecroot","372703963523876","Fachkompetenz",4,"-"
"186e62769ecroot","372703963523876","Handlungskompetenz",11,"- Die Studierenden sind in der Lage, sich eigenständig die jeweils aktuelle Theoriediskussion anzueignen und ihr professionelles Handeln in den Gesamtzusammenhang gesellschaftlicher und professioneller Entwicklungen einzuordnen.
- Vor diesem Hintergrund können die Studierenden eigene Ideen, Maßnahmen und Interventionen analytisch betrachten, sie haben eine kritische Perspektive sowie ihre Reflexivität geschult und ihre fachliche Argumentationsfähigkeit gestärkt.
- Sie sind in der Lage, kreativ die Entwicklung ihres professionellen Handelns voranzutreiben."
"186e62769ecroot","372703963523876","Lehrform",47,"-"
"186e62769ecroot","372703963523876","Lehrinhalte (nur im Sozialwesen)",15,"-"
"186e62769ecroot","372703963523876","Literatur",31,"-"
"186e62769ecroot","372703963523876","Voraussetzungen",23,"Zusätzliche Voraussetzung für die Belegung im Rahmen eines Masterstudiums: Bachelorabschluss mit 180 ECTS
Alle im Rahmen des Zulassungsprozesses durch die jeweilige Wissenschaftliche Leitung festgelegten Grundlagenmodule sind erfolgreich abgeschlossen.
Die Voraussetzung zur Teilnahme am Modul im Rahmen des Zertifikatsprogramms erfüllt, wer über eine in der Regel mindestens einjährige einschlägige Berufserfahrung verfügt, die zeitlich nach dem Erwerb des Abschlusses des Hochschulstudiums liegt. Die Mindestqualifikation muss Niveau 6 des DQR entsprechen.
"
"186e62769ecroot","372703963523876","Wissenskompetenz",10,"- Die Studierenden haben einen Überblick über aktuelle Theoriedebatten in der Sozialen Arbeit mit Blick auf gesellschaftlichen und wohlfahrtsstaatlichen Wandel.
- Sie verfügen über vertieftes Wissen in mindestens einer Sozialarbeitstheorie und über umfassendes Wissen zum Governanceansatz als Rahmenkonzept.
"
"186e62769ecroot","372704009341880","Lehrinhalte",17,"Vertiefung ausgewählter Theorien Sozialer Arbeit unter Fokussierung auf spezifische Fragestellungen
- Äußere (Globalisierung) und innere Herausforderungen des Wohlfahrtsstaates (demographischer Wandel, Wandel am Arbeitsmarkt, Wandel der Lebensformen, Wertewandel, Einwanderungsgesellschaft)
- Diskursanalyse „aktivierender Sozialstaat“ („Dritter Weg“, Welfare / Workfare, Welfare Mix usw.)
- Sozialstaat und soziale Gerechtigkeit
- hybrider Wohlfahrtsstaat
- Governance auf unterschiedlichen Ebenen (Kommune, Staat, EU, global)
- Wertgebundenheit von Governance (Good Governance)
- Governance und Neue Steuerung (New Public Management)
- Governance und Organisationsgestaltung
"
"186e62769ecroot","372704009341880","Literatur",18,"Es wird jeweils die aktuellste Auflage zu Grunde gelegt."
"186e62769ecroot","372704574463900","Besonderheiten",14,"Für alle Vorlesungen werden aktuelle Gesetzestexte benötigt.
"
"186e62769ecroot","372704574463900","Fachkompetenz",4,"-"
"186e62769ecroot","372704574463900","Handlungskompetenz",11,"- Die Studierenden verfügen über Rechtswissen und können dieses handlungsleitend zur Problemlösung im entsprechenden Arbeitsfeld der Sozialen Arbeit anwenden.
- Sie sind in der Lage, die rechtlichen Rahmenbedingungen hinsichtlich ihrer Relevanz für die Soziale Arbeit im beruflichen Alltag zu reflektieren. 
"
"186e62769ecroot","372704574463900","Lehrform",47,"-"
"186e62769ecroot","372704574463900","Lehrinhalte (nur im Sozialwesen)",15,"-"
"186e62769ecroot","372704574463900","Literatur",31,"-"
"186e62769ecroot","372704574463900","Methodenkompetenz",40,"• Die Studierenden haben Reflexions- und Handlungssicherheit im Umgang mit den relevanten Rechtsgrundlagen entwickelt und so ihre Professionalität erweitert.
Sie begreifen die Möglichkeiten rechtlicher Gestaltung als Herausforderung für ihr eigenes professionelles Handeln.
"
"186e62769ecroot","372704574463900","Personale und Soziale Kompetenz",41,"• Die Studierenden haben sich mit Rechtsfragen aus sozial-ethischer Sicht befasst."
"186e62769ecroot","372704574463900","Sachkompetenz",5,"-"
"186e62769ecroot","372704574463900","Selbstkompetenz",8,"- Die Studierenden haben Reflexions- und Handlungssicherheit im Umgang mit den relevanten Rechtsgrundlagen entwickelt und so ihre Professionalität erweitert.
- Sie begreifen die Möglichkeiten rechtlicher Gestaltung als Herausforderung für ihr eigenes professionelles Handeln.
"
"186e62769ecroot","372704574463900","Sozial-ethische Kompetenz",7,"- Die Studierenden haben sich mit Rechtsfragen aus sozial-ethischer Sicht befasst."
"186e62769ecroot","372704574463900","Übergreifende Handlungskompetenz",9,"-"
"186e62769ecroot","372704574463900","Voraussetzungen",23,"Zusätzliche Voraussetzung für die Belegung im Rahmen eines Masterstudiums: Bachelorabschluss mit 180 ECTS
Alle im Rahmen des Zulassungsprozesses durch die jeweilige Wissenschaftliche Leitung festgelegten Grundlagenmodule sind erfolgreich abgeschlossen.
Die Voraussetzung zur Teilnahme am Modul im Rahmen des Zertifikatsprogramms erfüllt, wer über eine in der Regel mindestens einjährige einschlägige Berufserfahrung verfügt, die zeitlich nach dem Erwerb des Abschlusses des Hochschulstudiums liegt. Die Mindestqualifikation muss Niveau 6 des DQR entsprechen.
"
"186e62769ecroot","372704574463900","Wissenskompetenz",10,"- Die Studierenden haben einen Überblick über die Rechtsgrundlagen, die für Führung von sozialen Einrichtungen relevant sind.
- Insbesondere kennen sie die rechtlichen Rahmenbedingungen der Mitarbeiterführung.
- Sie kennen die Vor- und Nachteile verschiedener rechtlicher Organisationsformen und können diese auf ihre Einrichtungen beziehen
"
"186e62769ecroot","372704600379904","Lehrinhalte",17,"Verfassungs- und sozialverwaltungsrechtliche Grundlagen
- Sozialstaats- und Rechtsstaatsprinzip
- Rechtsschutz
Vertrauensschutz in der Sozialen Arbeit
- Schweigepflicht
- Zeugnisverweigerungsrechte
Ausgewählte Themen des Sozialversicherungsrechts
Steuerrecht gemeinnütziger Organisationen
- Steuersubjekt und Steuerpflicht
- Einkommen und Einkommensermittlung
- Besteuerung gemeinnütziger Vereine
Rechtsformen sozial(wirtschaftlicher) Organisationen
- Verein
- gGmbH
Genossenschaft- Grundaspekte des Arbeits- und Personalrechts
- Begründung von Arbeitsverhältnissen
- Beendigung von Arbeitsverhältnissen/Kündigung
- Allgemeines Gleichbehandlungsrecht
"
"186e62769ecroot","372704600379904","Literatur",18,"Es wird jeweils die aktuellste Auflage zu Grunde gelegt.
- Meysen, T. / Beckmann, J. / Reiß, D. / Schindler, G. (2014): Recht der Finanzierung von Leistungen der Kinder- und Jugendhilfe: Rechtlicher Rahmen und Perspektiven im SGB VIII
- Patjens, R. / Patjens, T. (2021), Sozialverwaltungsrecht für die Soziale Arbeit
- Schaub, S. / Trappe, M. (2015): Unternehmerische Selbstständigkeit in der Sozialen Arbeit: Ein Handbuch für die Praxis 
- Wien, A. / Franzke, N. (2014): Personalrecht – Eine praxisorientierte Einführung
- Siebrecht, I.: „Wie ein Klotz am Bein?“ – Überblick über die Schweigepflicht in der Sozialen Arbeit, in: Sozial Extra 2015, S. 6-9
- Rechtskommentare zum SGB X, §§ 67 ff (Sozialdatenschutz)"
"186e62769ecroot","372723380386528","Personale und Soziale Kompetenz",41,"• Die Studierenden haben sich mit der Relevanz unternehmens- und organisationsethischer Betrachtungsweisen für das eigene Handeln in Organisationen befasst.
"
"186e62769ecroot","372723380386528","Sachkompetenz",5,"-"
"186e62769ecroot","372723380386528","Selbstkompetenz",8,"- Die Studierenden haben sich mit den Grenzen der Steuerbarkeit sozialer Organisationen und mit eigenen Steuerungsvorstellungen auseinandergesetzt.
- Sie begreifen Paradoxien organisationaler Gestaltung als Herausforderung für eigenes Leitungshandeln.
"
"186e62769ecroot","372723380386528","Wissenskompetenz",10,"- Die Studierenden verfügen über das Wissen, sozial(wirtschaftlich)e Organisationen aus dem Blickwinkel unterschiedlicher wissenschaftlicher Disziplinen zu betrachten: soziologisch, psychologisch, politologisch, betriebswirtschaftlich usw.
- Sie kennen insbesondere die zentralen Argumentationslinien der neueren Organisationssoziologie sowie systemischen Organisations- und Managementverständnisses und deren Implikationen für soziale Einrichtungen. 
"
"186e62769ecroot","372723380386528","Sozial-ethische Kompetenz",7,"- Die Studierenden haben sich mit der Relevanz unternehmens- und organisationsethischer Betrachtungsweisen für das eigene Handeln in Organisationen befasst.
"
"186e62769ecroot","372723380386528","Übergreifende Handlungskompetenz",9,"-"
"186e62769ecroot","372723380386528","Voraussetzungen",23,"Zusätzliche Voraussetzung für die Belegung im Rahmen eines Masterstudiums: Bachelorabschluss mit 180 ECTS
Alle im Rahmen des Zulassungsprozesses durch die jeweilige Wissenschaftliche Leitung festgelegten Grundlagenmodule sind erfolgreich abgeschlossen.
Die Voraussetzung zur Teilnahme am Modul im Rahmen des Zertifikatsprogramms erfüllt, wer über eine in der Regel mindestens einjährige einschlägige Berufserfahrung verfügt, die zeitlich nach dem Erwerb des Abschlusses des Hochschulstudiums liegt. Die Mindestqualifikation muss Niveau 6 des DQR entsprechen."
"186e62769ecroot","372723380386528","Besonderheiten",14,"Prüfungsleistung: Studienarbeit (20 Seiten Fließtext)."
"186e62769ecroot","372723380386528","Fachkompetenz",4,"-"
"186e62769ecroot","372723380386528","Handlungskompetenz",11,"- Die Studierenden sind in der Lage, die (sozial)politischen und gesellschaftlichen Rahmenbedingungen des sozialen Bereichs hinsichtlich ihrer Relevanz für die Leitung konkreter Organisationen zu reflektieren.
- Sie verfügen über einen multidisziplinären Blick auf Steuerungsprozesse sozial(wirtschaftlich)er Organisationen und sind in der Lage, organisationale Governance- und Hybridisierungsprozesse angemessen zu analysieren und Gestaltungsoptionen aus ihnen abzuleiten.  
"
"186e62769ecroot","372723380386528","Lehrform",47,"-"
"186e62769ecroot","372723380386528","Lehrinhalte (nur im Sozialwesen)",15,"-"
"186e62769ecroot","372723380386528","Literatur",31,"-"
"186e62769ecroot","372723380386528","Methodenkompetenz",40,"• Die Studierenden haben sich mit den Grenzen der Steuerbarkeit sozialer Organisationen und mit eigenen
Steuerungsvorstellungen auseinandergesetzt.
• Sie begreifen Paradoxien organisationaler Gestaltung als Herausforderung für eigenes Leitungshandeln.
"
"186e62769ecroot","372723457321533","Lehrinhalte",17,"- Grundbegriffe von „Organisation“, „Management“, „Sozialwirtschaft“
- Perspektiven der neueren Organisationssoziologie
- Kulturen in und von sozial(wirtschaftlich)en Organisationen
- Organisationen als „lernende Organisationen“
- Mikropolitik und Macht in Organisationen
- Grundprinzipien eines systemisch orientierten Managements
- Grundaspekte „organisationaler Governance“
- Wahrnehmung, Analyse und Gestaltung von Hybridisierungsprozessen in und von sozial(wirtschaftlich)en Organisationen
"
